0000	Ericsson AB
0001	Nokia Mobile Phones
0002	Intel Corp.
0003	IBM Corp.
0004	Toshiba Corp.
0005	3Com
0006	Microsoft
0007	Lucent
0008	Motorola
0009	Infineon Technologies AG
000A	Qualcomm Technologies International, Ltd. (QTIL)
000B	Silicon Wave
000C	Digianswer A/S
000D	Texas Instruments Inc.
000E	Parthus Technologies Inc.
000F	Broadcom Corporation
0010	Mitel Semiconductor
0011	Widcomm, Inc.
0012	Zeevo, Inc.
0013	Atmel Corporation
0014	Mitsubishi Electric Corporation
0015	RTX A/S
0016	KC Technology Inc.
0017	Newlogic
0018	Transilica, Inc.
0019	Rohde & Schwarz GmbH & Co. KG
001A	TTPCom Limited
001B	Signia Technologies, Inc.
001C	Conexant Systems Inc.
001D	Qualcomm
001E	Inventel
001F	AVM Berlin
0020	BandSpeed, Inc.
0021	Mansella Ltd
0022	NEC Corporation
0023	WavePlus Technology Co., Ltd.
0024	Alcatel
0025	NXP B.V.
0026	C Technologies
0027	Open Interface
0028	R F Micro Devices
0029	Hitachi Ltd
002A	Symbol Technologies, Inc.
002B	Tenovis
002C	Macronix International Co. Ltd.
002D	GCT Semiconductor
002E	Norwood Systems
002F	MewTel Technology Inc.
0030	ST Microelectronics
0031	Synopsys, Inc.
0032	Red-M (Communications) Ltd
0033	Commil Ltd
0034	Computer Access Technology Corporation (CATC)
0036	Renesas Electronics Corporation
0037	Mobilian Corporation
0038	Syntronix Corporation
0039	Integrated System Solution Corp.
003A	Panasonic Holdings Corporation
003B	Gennum Corporation
003C	BlackBerry Limited
003D	IPextreme, Inc.
003E	Systems and Chips, Inc
003F	Bluetooth SIG, Inc
0040	Seiko Epson Corporation
0041	Integrated Silicon Solution Taiwan, Inc.
0042	CONWISE Technology Corporation Ltd
0043	PARROT AUTOMOTIVE SAS
0044	Socket Mobile
0045	Atheros Communications, Inc.
0046	MediaTek, Inc.
0047	Bluegiga
0048	Marvell Technology Group Ltd.
0049	3DSP Corporation
004A	Accel Semiconductor Ltd.
004B	AUMOVIO Systems, Inc.
004C	Apple, Inc.
004D	Staccato Communications, Inc.
004E	Avago Technologies
004F	APT Ltd.
0050	SiRF Technology, Inc.
0051	Tzero Technologies, Inc.
0052	J&M Corporation
0053	Free2move AB
0054	3DiJoy Corporation
0055	Plantronics, Inc.
0056	Sony Ericsson Mobile Communications
0057	Harman International Industries, Inc.
0058	Vizio, Inc.
0059	Nordic Semiconductor ASA
005A	EM Microelectronic-Marin SA
005B	Ralink Technology Corporation
005C	Belkin International, Inc.
005D	Realtek Semiconductor Corporation
005E	Stonestreet One, LLC
005F	Wicentric, Inc.
0060	RivieraWaves S.A.S
0061	RDA Microelectronics
0062	Gibson Guitars
0063	MiCommand Inc.
0064	Band XI International, LLC
0065	HP, Inc.
0067	GN Hearing
0068	General Motors
0069	A&D Engineering, Inc.
006A	LTM Limited
006B	Polar Electro OY
006C	Beautiful Enterprise Co., Ltd.
